season,year,division,played,win,draw,lose,goals_for,goals_against,pts,rank,fa_cup,efl_cup,community_shield,uefa,top_scorer,goals
1886–87,1886,,,,,,,,,,R1,,,,Jack Doughty,4
1888–89,1888,Combination,12,8,2,2,27,13,18,,,,,,Jack DoughtyRoger Doughty,6
1889–90,1889,Alliance,22,9,2,11,40,45,20,8,R1,,,,Willie Stewart,10
1890–91,1890,Alliance,22,7,3,12,37,55,17,9,QR2,,,,Bob Ramsay,7
1891–92,1891,Alliance,22,12,7,3,69,33,31,2,QR4,,,,Bob DonaldsonAlf Farman,20
1892–93,1892,Div 1,30,6,6,18,50,85,18,16,R1,,,,Bob Donaldson,16
1893–94,1893,Div 1,30,6,2,22,36,72,14,16,R2,,,,Bob Donaldson,10
1894–95,1894,Div 2,30,15,8,7,78,44,38,3,R1,,,,Dick Smith,20
1895–96,1895,Div 2,30,15,3,12,66,57,33,6,R2,,,,Joe Cassidy,16
1896–97,1896,Div 2,30,17,5,8,56,34,39,2,R3,,,,Joe Cassidy,25
1897–98,1897,Div 2,30,16,6,8,64,35,38,4,R2,,,,Henry Boyd,22
1898–99,1898,Div 2,34,19,5,10,67,43,43,4,R1,,,,Joe Cassidy,20
1899–1900,1899,Div 2,34,20,4,10,63,27,44,4,QR3,,,,Joe Cassidy,16
1900–01,1900,Div 2,34,14,4,16,42,38,32,10,R1,,,,Tommy Leigh,14
1901–02,1901,Div 2,34,11,6,17,38,53,28,15,RInt,,,,Stephen Preston,11
1902–03,1902,Div 2,34,15,8,11,53,38,38,5,R2,,,,Jack Peddie,15
1903–04,1903,Div 2,34,20,8,6,65,33,48,3,R2,,,,Tommy Arkesden,15
1904–05,1904,Div 2,34,24,5,5,81,30,53,3,RInt,,,,Jack Peddie,17
1905–06,1905,Div 2,38,28,6,4,90,28,62,2,R4,,,,Jack Picken,25
1906–07,1906,Div 1,38,17,8,13,53,56,42,8,R1,,,,George Wall,13
1907–08,1907,Div 1,38,23,6,9,81,48,52,1,R4,,Winners,,Sandy Turnbull,27
1908–09,1908,Div 1,38,15,7,16,58,68,37,13,Winners,,,,Jimmy Turnbull,22
1909–10,1909,Div 1,38,19,7,12,69,61,45,5,R1,,,,George Wall,14
1910–11,1910,Div 1,38,22,8,8,72,40,52,1,R3,,,,Enoch West,20
1911–12,1911,Div 1,38,13,11,14,45,60,37,13,R4,,Winners,,Enoch West,23
1912–13,1912,Div 1,38,19,8,11,69,43,46,4,R3,,,,Enoch West,22
1913–14,1913,Div 1,38,15,6,17,52,62,36,14,R1,,,,George Anderson,15
1914–15,1914,Div 1,38,9,12,17,46,62,30,18,R1,,,,George Anderson,10
1915–19,1915,,,,,,,,,,,,,,,
1919–20,1919,Div 1,42,13,14,15,54,50,40,12,R2,,,,Joe Spence,14
1920–21,1920,Div 1,42,15,10,17,64,68,40,13,R1,,,,Tom MillerTeddy Partridge,8
1921–22,1921,Div 1,42,8,12,22,41,73,28,22,R1,,,,Joe Spence,15
1922–23,1922,Div 2,42,17,14,11,51,36,48,4,R2,,,,Ernie Goldthorpe,14
1923–24,1923,Div 2,42,13,14,15,52,44,40,14,R2,,,,Arthur Lochhead,14
1924–25,1924,Div 2,42,23,11,8,57,23,57,2,R1,,,,William Henderson,14
1925–26,1925,Div 1,42,19,6,17,66,73,44,9,SF,,,,Frank McPherson,20
1926–27,1926,Div 1,42,13,14,15,52,64,40,15,R3,,,,Joe Spence,19
1927–28,1927,Div 1,42,16,7,19,72,80,39,18,R6,,,,Joe Spence,24
1928–29,1928,Div 1,42,14,13,15,66,76,41,12,R4,,,,Jimmy Hanson,20
1929–30,1929,Div 1,42,15,8,19,67,88,38,17,R3,,,,Harry RowleyJoe Spence,12
1930–31,1930,Div 1,42,7,8,27,53,115,22,22,R4,,,,Tommy Reid,20
1931–32,1931,Div 2,42,17,8,17,71,72,42,12,R3,,,,Joe Spence,19
1932–33,1932,Div 2,42,15,13,14,71,68,43,6,R3,,,,Bill Ridding,11
1933–34,1933,Div 2,42,14,6,22,59,85,34,20,R3,,,,Neil Dewar,8
1934–35,1934,Div 2,42,23,4,15,76,55,50,5,R4,,,,George Mutch,19
1935–36,1935,Div 2,42,22,12,8,85,43,56,1,R4,,,,George Mutch,23
1936–37,1936,Div 1,42,10,12,20,55,78,32,21,R4,,,,Tommy Bamford,15
1937–38,1937,Div 2,42,22,9,11,82,50,53,2,R5,,,,Harry BairdTommy Bamford,15
1938–39,1938,Div 1,42,11,16,15,57,65,38,14,R3,,,,Jimmy Hanlon,12
1939–40,1939,Div 1,3,1,1,1,5,3,3,10,,,,,Billy Bryant,2
1940–45,1940,,,,,,,,,,,,,,,
1945–46,1945,,,,,,,,,,R4,,,,Jimmy HanlonJack RowleyBilly Wrigglesworth,2
1946–47,1946,Div 1,42,22,12,8,95,54,56,2,R4,,,,Jack Rowley,28
1947–48,1947,Div 1,42,19,14,9,81,48,52,2,Winners,,,,Jack Rowley,28
1948–49,1948,Div 1,42,21,11,10,77,44,53,2,SF,,Runners-up,,Jack Rowley,29
1949–50,1949,Div 1,42,18,14,10,69,44,50,4,R6,,,,Jack Rowley,23
1950–51,1950,Div 1,42,24,8,10,74,40,56,2,R6,,,,Stan Pearson,23
1951–52,1951,Div 1,42,23,11,8,95,52,57,1,R3,,,,Jack Rowley,30
1952–53,1952,Div 1,42,18,10,14,69,72,46,8,R5,,Winners,,Stan Pearson,18
1953–54,1953,Div 1,42,18,12,12,73,58,48,4,R3,,,,Tommy Taylor,23
1954–55,1954,Div 1,42,20,7,15,84,74,47,5,R4,,,,Dennis Viollet,21
1955–56,1955,Div 1,42,25,10,7,83,51,60,1,R3,,,,Tommy Taylor,25
1956–57,1956,Div 1,42,28,8,6,103,54,64,1,Runners-up,,Winners,European Cup – SF,Tommy Taylor,34
1957–58,1957,Div 1,42,16,11,15,85,75,43,9,Runners-up,,Winners,European Cup – SF,Dennis Viollet,23
1958–59,1958,Div 1,42,24,7,11,103,66,55,2,R3,,,,Bobby Charlton,29
1959–60,1959,Div 1,42,19,7,16,102,80,45,7,R5,,,,Dennis Viollet,32
1960–61,1960,Div 1,42,18,9,15,88,76,45,7,R4,R2,,,Bobby Charlton,21
1961–62,1961,Div 1,42,15,9,18,72,75,39,15,SF,N/A,,,David Herd,17
1962–63,1962,Div 1,42,12,10,20,67,81,34,19,Winners,N/A,,,Denis Law,29
1963–64,1963,Div 1,42,23,7,12,90,62,53,2,SF,N/A,Runners-up,Cup Winners' Cup – QF,Denis Law,46
1964–65,1964,Div 1,42,26,9,7,89,39,61,1,SF,N/A,,Inter-Cities Fairs Cup – SF,Denis Law,39
1965–66,1965,Div 1,42,18,15,9,84,59,51,4,SF,N/A,Shared,European Cup – SF,David Herd,33
1966–67,1966,Div 1,42,24,12,6,84,45,60,1,R4,R2,,,Denis Law,25
1967–68,1967,Div 1,42,24,8,10,89,55,56,2,R3,N/A,Shared,European Cup – Winners,George Best,32
1968–69,1968,Div 1,42,15,12,15,57,53,42,11,R6,N/A,,"European Cup – SF 
Intercontinental Cup – Runners-up",Denis Law,30
1969–70,1969,Div 1,42,14,17,11,66,61,45,8,Third place,SF,,,George Best,23
1970–71,1970,Div 1,42,16,11,15,65,66,43,8,R3,SF,,,George Best,21
1971–72,1971,Div 1,42,19,10,13,69,61,48,8,R6,R4,,,George Best,26
1972–73,1972,Div 1,42,12,13,17,44,60,37,18,R3,R3,,,Bobby Charlton,7
1973–74,1973,Div 1,42,10,12,20,38,48,32,21,R4,R2,,,Lou MacariSammy McIlroy,6
1974–75,1974,Div 2,42,26,9,7,66,30,61,1,R3,SF,,,Lou MacariStuart Pearson,18
1975–76,1975,Div 1,42,23,10,9,68,42,56,3,Runners-up,R4,,,Lou Macari,15
1976–77,1976,Div 1,42,18,11,13,71,62,47,6,Winners,R5,,UEFA Cup – R2,Gordon Hill,22
1977–78,1977,Div 1,42,16,10,16,67,63,42,10,R4,R2,Shared,Cup Winners' Cup – R2,Gordon Hill,19
1978–79,1978,Div 1,42,15,15,12,60,63,45,9,Runners-up,R3,,,Jimmy Greenhoff,17
1979–80,1979,Div 1,42,24,10,8,65,35,58,2,R3,R3,,,Joe Jordan,13
1980–81,1980,Div 1,42,15,18,9,51,36,48,8,R4,R2,,UEFA Cup – R1,Joe Jordan,15
1981–82,1981,Div 1,42,22,12,8,59,29,78,3,R3,R2,,,Frank Stapleton,13
1982–83,1982,Div 1,42,19,13,10,56,38,70,3,Winners,Runners-up,,UEFA Cup – R1,Frank Stapleton,19
1983–84,1983,Div 1,42,20,14,8,71,41,74,4,R3,R4,Winners,Cup Winners' Cup – SF,Frank Stapleton,19
1984–85,1984,Div 1,42,22,10,10,77,47,76,4,Winners,R3,,UEFA Cup – QF,Mark Hughes,24
1985–86,1985,Div 1,42,22,10,10,70,36,76,4,R5,R4,Runners-up,,Mark Hughes,18
1986–87,1986,Div 1,42,14,14,14,52,45,56,11,R4,R3,,,Peter Davenport,16
1987–88,1987,Div 1,40,23,12,5,71,38,81,2,R5,R5,,,Brian McClair,31
1988–89,1988,Div 1,38,13,12,13,45,35,51,11,R6,R3,,,Mark HughesBrian McClair,16
1989–90,1989,Div 1,38,13,9,16,46,47,48,13,Winners,R3,,,Mark Hughes,15
1990–91,1990,Div 1,38,16,12,10,58,45,59,6,R5,Runners-up,Shared,Cup Winners' Cup – Winners,Mark HughesBrian McClair,21
1991–92,1991,Div 1,42,21,15,6,63,33,78,2,R4,Winners,,"Cup Winners' Cup – R2 
Super Cup – Winners",Brian McClair,24
1992–93,1992,Prem,42,24,12,6,67,31,84,1,R5,R3,,UEFA Cup – R1,Mark Hughes,16
1993–94,1993,Prem,42,27,11,4,80,38,92,1,Winners,Runners-up,Winners,Champions League – R2,Eric Cantona,25
1994–95,1994,Prem,42,26,10,6,77,28,88,2,Runners-up,R3,Winners,Champions League – Group,Andrei Kanchelskis,15
1995–96,1995,Prem,38,25,7,6,73,35,82,1,Winners,R2,,UEFA Cup – R1,Eric Cantona,19
1996–97,1996,Prem,38,21,12,5,76,44,75,1,R4,R4,Winners,Champions League – SF,Ole Gunnar Solskjær,19
1997–98,1997,Prem,38,23,8,7,73,26,77,2,R5,R3,Winners,Champions League – QF,Andy Cole,25
1998–99,1998,Prem,38,22,13,3,80,37,79,1,Winners,R5,Runners-up,Champions League – Winners,Dwight Yorke,29
1999–2000,1999,Prem,38,28,7,3,97,45,91,1,N/A,R3,Runners-up,"Champions League – QF 
Super Cup – Runners-up
Intercontinental Cup – Winners
Club World Championship – Group",Dwight Yorke,24
2000–01,2000,Prem,38,24,8,6,79,31,80,1,R4,R4,Runners-up,Champions League – QF,Teddy Sheringham,21
2001–02,2001,Prem,38,24,5,9,87,45,77,3,R4,R3,Runners-up,Champions League – SF,Ruud van Nistelrooy,36
2002–03,2002,Prem,38,25,8,5,74,34,83,1,R5,Runners-up,,Champions League – QF,Ruud van Nistelrooy,44
2003–04,2003,Prem,38,23,6,9,64,35,75,3,Winners,R4,Winners,Champions League – Round of 16,Ruud van Nistelrooy,30
2004–05,2004,Prem,38,22,11,5,58,26,77,3,Runners-up,SF,Runners-up,Champions League – Round of 16,Wayne Rooney,17
2005–06,2005,Prem,38,25,8,5,72,34,83,2,R5,Winners,,Champions League – Group,Ruud van Nistelrooy,24
2006–07,2006,Prem,38,28,5,5,83,27,89,1,Runners-up,R4,,Champions League – SF,Wayne RooneyCristiano Ronaldo,23
2007–08,2007,Prem,38,27,6,5,80,22,87,1,R6,R3,Winners,Champions League – Winners,Cristiano Ronaldo,42
2008–09,2008,Prem,38,28,6,4,68,24,90,1,SF,Winners,Winners,"Champions League – Runners-up
Super Cup – Runners-up
Club World Cup – Winners",Cristiano Ronaldo,26
2009–10,2009,Prem,38,27,4,7,86,28,85,2,R3,Winners,Runners-up,Champions League – QF,Wayne Rooney,34
2010–11,2010,Prem,38,23,11,4,78,37,80,1,SF,R5,Winners,Champions League – Runners-up,Dimitar Berbatov,21
2011–12,2011,Prem,38,28,5,5,89,33,89,2,R4,R5,Winners,Champions League – Group Europa League – Round of 16,Wayne Rooney,34
2012–13,2012,Prem,38,28,5,5,86,43,89,1,R6,R4,,Champions League – Round of 16,Robin van Persie,30
2013–14,2013,Prem,38,19,7,12,64,43,64,7,R3,SF,Winners,Champions League – QF,Wayne Rooney,19
2014–15,2014,Prem,38,20,10,8,62,37,70,4,R6,R2,,,Wayne Rooney,14
2015–16,2015,Prem,38,19,9,10,49,35,66,5,Winners,R4,,Champions League – Group Europa League – Round of 16,Anthony Martial,17
2016–17,2016,Prem,38,18,15,5,54,29,69,6,R6,Winners,Winners,Europa League – Winners,Zlatan Ibrahimović,28
2017–18,2017,Prem,38,25,6,7,68,28,81,2,Runners-up,R5,,"Champions League – Round of 16 
Super Cup – Runners-up",Romelu Lukaku,27
2018–19,2018,Prem,38,19,9,10,65,54,66,6,R6,R3,,Champions League – QF,Paul Pogba,16
2019–20,2019,Prem,38,18,12,8,66,36,66,3,SF,SF,,Europa League – SF,Anthony Martial,23
2020–21,2020,Prem,38,21,11,6,73,44,74,2,R6,SF,,"Champions League – Group 
Europa League – Runners-up",Bruno Fernandes,28
2021–22,2021,Prem,38,16,10,12,57,57,58,6,R4,R3,,Champions League – Round of 16,Cristiano Ronaldo,24
