"player","squad","minutes","def_action","def_action_per90","crosses","crosses_per90","ptile"
"Kieran Tierney","Arsenal",2299,87,5.548176732454475,101,6.440986781355194,10
"Héctor Bellerín","Arsenal",2089,81,5.165543854354166,51,3.252379463852623,8
"Matt Targett","Aston Villa",3404,185,11.797847074759515,98,6.2496703423050395,10
"Matty Cash","Aston Villa",2372,170,10.841264879508742,62,3.9538730737031886,9
"Solly March","Brighton",1672,104,6.6323032204053485,71,4.527822390853651,9
"Joël Veltman","Brighton",2281,111,7.078708244855709,52,3.3161516102026742,8
"Dan Burn","Brighton",2061,98,6.2496703423050395,32,2.040708683201646,7
"Charlie Taylor","Burnley",2426,120,7.652657562006171,76,4.846683122603909,9
"Matthew Lowton","Burnley",3060,157,10.012226976958074,57,3.6350123419529314,8
"Reece James","Chelsea",2373,135,8.609239757256942,100,6.377214635005143,10
"Ben Chilwell","Chelsea",2286,123,7.843974001056326,93,5.930809610554783,10
"César Azpilicueta","Chelsea",2188,105,6.6960753667554,29,1.8493922441514914,7
"Patrick van Aanholt","Crystal Palace",1777,84,5.35686029340432,34,2.1682529759017486,7
"Lucas Digne","Everton",2681,125,7.971518293756429,132,8.417923318206789,10
"Mason Holgate","Everton",2287,134,8.545467610906892,27,1.7218479514513885,7
"Antonee Robinson","Fulham",2162,123,7.843974001056326,93,5.930809610554783,10
"Kenny Tete","Fulham",1481,88,5.611948878804526,61,3.8901009273531373,9
"Ola Aina","Fulham",2664,125,7.971518293756429,42,2.67843014670216,7
"Luke Ayling","Leeds United",3399,206,13.137062148110594,70,4.4640502445036,9
"Ezgjan Alioski","Leeds United",2461,124,7.907746147406377,59,3.762556634653034,9
"James Justin","Leicester City",2070,107,6.8236196594555025,48,3.0610630248024684,8
"Timothy Castagne","Leicester City",2345,110,7.0149360985056575,37,2.3595694149519026,7
"Andrew Robertson","Liverpool",3383,124,7.907746147406377,147,9.37450551345756,10
"Trent Alexander-Arnold","Liverpool",3031,129,8.226606879156634,182,11.60653063570936,10
"João Cancelo","Manchester City",2299,135,8.609239757256942,69,4.4002780981535485,9
"Kyle Walker","Manchester City",1946,71,4.527822390853651,24,1.5305315124012342,7
"Luke Shaw","Manchester Utd",2654,135,8.609239757256942,92,5.867037464204731,10
"Aaron Wan-Bissaka","Manchester Utd",3060,231,14.73136580686188,57,3.6350123419529314,8
"Jamal Lewis","Newcastle Utd",1837,81,5.165543854354166,32,2.040708683201646,7
"George Baldock","Sheffield Utd",2787,108,6.887391805805554,51,3.252379463852623,8
"Enda Stevens","Sheffield Utd",2700,130,8.290379025506686,55,3.5074680492528287,8
"Ryan Bertrand","Southampton",2598,121,7.716429708356222,57,3.6350123419529314,8
"Sergio Reguilón","Tottenham",2244,115,7.333796830255914,59,3.762556634653034,9
"Ben Davies","Tottenham",1346,50,3.1886073175025715,24,1.5305315124012342,7
"Darnell Furlong","West Brom",2932,125,7.971518293756429,74,4.719138829903805,9
"Conor Townsend","West Brom",2234,117,7.461341122956017,52,3.3161516102026742,8
"Vladimír Coufal","West Ham",3054,154,9.82091053790792,102,6.504758927705246,10
"Aaron Cresswell","West Ham",3170,97,6.185898195954988,91,5.80326531785468,9
"Nélson Semedo","Wolves",2983,152,9.693366245207818,48,3.0610630248024684,8
"Rayan Aït Nouri","Wolves",1404,58,3.698784488302983,30,1.9131643905015427,7
