"player","season","goals","shots_on_target","shots"
"Bruno Fernandes",2020,18,40,110
"Marcus Rashford",2020,11,36,79
"Edinson Cavani",2020,10,15,35
"Other",2020,8,29,73
"Mason Greenwood",2020,7,23,67
"Anthony Martial",2020,4,21,43
"Scott McTominay",2020,4,7,26
"Paul Pogba",2020,3,11,31
"Daniel James",2020,3,6,17
"Harry Maguire",2020,2,9,36
"Cristiano Ronaldo",2021,18,39,108
"Bruno Fernandes",2021,10,29,87
"Other",2021,6,44,152
"Mason Greenwood",2021,5,18,48
"Marcus Rashford",2021,4,12,22
"Fred",2021,4,9,15
"Jadon Sancho",2021,3,9,26
"Anthony Elanga",2021,2,7,21
"Edinson Cavani",2021,2,6,18
"Jesse Lingard",2021,2,6,8
