"player","pl20_minutes","pl21_minutes"
"Dean Henderson",1125,NULL
"David de Gea",2295,3420
"Bruno Fernandes",3099,3111
"Harry Maguire",3047,2515
"Cristiano Ronaldo",NULL,2456
"Scott McTominay",2129,2387
"Daniel James",910,2366
"Victor Lindelöf",2585,2355
"Brandon Williams",188,2120
"Fred",2390,2028
"Jadon Sancho",NULL,1900
"Raphaël Varane",NULL,1831
"Diogo Dalot",NULL,1801
"Aaron Wan-Bissaka",3060,1793
"Alex Telles",690,1660
"Luke Shaw",2654,1601
"Nemanja Matić",1106,1382
"Paul Pogba",1897,1349
"Mason Greenwood",1822,1271
"Marcus Rashford",2920,1235
"Anthony Elanga",155,1214
"Edinson Cavani",1375,766
"Axel Tuanzebe",404,508
"Donny van de Beek",524,483
"Jesse Lingard",1421,367
"Juan Mata",509,235
"Eric Bailly",916,217
"Anthony Martial",1480,212
"Daniel James",910,126
"Donny van de Beek",524,75
