"season","param","value","rank"
2020,"goals",1.8421052631578947,2
2020,"shots_on_target",5.184210526315789,3
2020,"shots",13.605263157894736,6
2020,"goals_allowed",1.1578947368421053,5
2020,"shots_on_target_allowed",3.5526315789473686,13
2020,"saves",2.526315789473684,14
2020,"saves_per100",71.11111111111111,9
2020,"touches",694.5263157894736,4
2020,"passes_comp",486.7105263157895,4
2020,"passes_att",577.8947368421053,4
2020,"passes_per100",84.22131147540983,4
2020,"tackles",5.026315789473684,17
2020,"clearances",21.210526315789473,3
2021,"goals",1.4736842105263157,8
2021,"shots_on_target",4.7105263157894735,6
2021,"shots",13.289473684210526,5
2021,"goals_allowed",1.5,12
2021,"shots_on_target_allowed",4.657894736842105,6
2021,"saves",3.263157894736842,5
2021,"saves_per100",70.05649717514125,10
2021,"touches",643.3684210526316,6
2021,"passes_comp",433.2631578947368,5
2021,"passes_att",528.7368421052631,6
2021,"passes_per100",81.94306191519013,6
2021,"tackles",6.052631578947368,11
2021,"clearances",21.236842105263158,6
